X,Y,Text,Font,Color,Size,Borntime,Deadtime,,
0.2,0.56,NORAD ID,chFont,#0909E3,36,8500,10500,,
0.8,0.2,不含有明確縮寫可以識別,chFont,#0909E3,36,8500,10500,,
0.7,0.25,訊號連接,chFont,#9B9B9B,36,10000,13000,,
0.3,0.4,无人工维护,chFont,#562FC8,36,18000,21000,,
0.2,0.34,137.100/1698.000,chFont,#9B9B9B,30,19000,22000,,
0.8,0.45,緯度,chFont,#0909E3,28,20000,23000,,
0.8,0.4,速度,chFont,#9B9B9B,30,24000,27000,,
0.3,0.3,測算目標,chFont,#9B9B9B,30,24000,27000,,
0.2,0.44,誰在那裏？,chFont,#0909E3,30,30000,33000,,
0.5,0.15,誰？,chFont,#562FC8,36,40000,43000,,
0.1,0.23,是誰？,chFont,#9B9B9B,30,43000,46000,,
0.8,0.4,誰在那裡？,chFont,#562FC8,30,44000,47000,,
0.5,0.5,你可以聽到嗎？,chFont,#EDBB0F,30,46000,49000,,
0.5,0.5,可以。,chFont,#EDBB0F,50,53000,56000,,
0.5,0.5,你可以看到嗎？,chFont,#EDBB0F,50,56000,59000,,
0.5,0.5,不。,chFont,#EDBB0F,50,59000,62000,,
0.2,0.42,極地軌道,chFont,#EDBB0F,50,63000,66000,,
0.5,0.5,我只是一個窗口。,chFont,#EDBB0F,50,105000,108000,,
0.5,0.5,你不需要看到我。,chFont,#EDBB0F,50,125000,128000,,
0.5,0.5,我知道你是誰。,chFont,#EDBB0F,40,180000,183000,,
0.5,0.5,我已等待了很久。,chFont,#EDBB0F,40,185000,187000,,
0.1,0.5,發生了什麼。你是誰？,chFont,#EDBB0F,30,205000,210000,,
0.5,0.5,集中！,chFont,#EDBB0F,50,211000,214000,,
0.5,0.5,耐心！,chFont,#EDBB0F,50,214000,217000,,
0.5,0.5,抬頭看，找到天空裡那些模糊的視點,chFont,#EDBB0F,30,218000,221000,,
0.5,0.5,聲音會引導你。,chFont,#EDBB0F,30,225000,228000,,
0.1,0.2,換句話說，我們看到的這些氣象衛星圖像是衛星實時拍攝的，它在高空過境時捕捉影像，然後將數據傳回地面接收站。,chFont,#9B9B9B,30,245000,259000,,
0.2,0.5,從這裏望去，天空變成了一層薄膜。,chFont,#EDBB0F,30,320000,325000,,
0.5,0.6,「從這裡，你看不到國界」 一個宇航員這麼說。,chFont,#EDBB0F,30,351000,356000,,
0.2,0.6,這裏是真空的，一切聲音和氣味都不存在。,chFont,#EDBB0F,30,397000,402000,,
0.5,0.6,只有視覺、光線、圖像。,chFont,#EDBB0F,30,431000,436000,,
0.2,0.5,憑那一張又一張的圖像，你如何就確信這就是眼中的世界？,chFont,#EDBB0F,30,437000,442000,,
0.2,0.5,一切都是瞬間，你如何知曉它的變化？,chFont,#EDBB0F,30,443000,448000,,
0.7,0.5,你也從未見過正在變化的星球。,chFont,#9B9B9B,30,449000,454000,,
0.7,0.5,你在其中，你是它的一部分。,chFont,#EDBB0F,30,456000,461000,,
0.2,0.5,我知道這是我們。,chFont,#9B9B9B,30,462000,467000,,
0.7,0.5,模擬的感受不等同體驗。,chFont,#EDBB0F,30,468000,473000,,
0.2,0.5,是誰在觀看？,chFont,#9B9B9B,30,474000,479000,,
0.5,0.5,睜開眼睛。,chFont,#EDBB0F,50,480000,485000,,
0.2,0.5,我感受不到高度，眼前的一切都在二維世界裏。,chFont,#9B9B9B,30,515000,522000,,
0.5,0.5,從這裡看去，人、車、房屋、樹木、海洋⋯⋯沒有什麼區別。,chFont,#EDBB0F,30,522000,526000,,
0.2,0.5,像螞蟻一樣，秩序井然，緩緩移動。,chFont,#9B9B9B,30,527000,532000,,
0.1,0.5,甚麼是上帝視角？,chFont,#9B9B9B,30,533000,542000,,
0.5,0.5,擁有了上帝的雙眼的你誤以為自己是祂。,chFont,#EDBB0F,30,539000,544000,,
0.2,0.5,是，視覺和圖像會讓人覺得飄渺。,chFont,#9B9B9B,30,545000,550000,,
0.5,0.5,因為你忘記了自己原本的位置。,chFont,#EDBB0F,30,551000,556000,,
0.2,0.5,我在哪裏？,chFont,#9B9B9B,30,562000,567000,,
0.5,0.5,你在哪裏？,chFont,#EDBB0F,50,569000,574000,,
